sex,marital,zodiac,sexsex5
male,never married,leo,NA
female,divorced,leo,IAP
female,never married,libra,exclusively male
male,never married,capricorn,exclusively female
female,married,pisces,exclusively male
female,never married,leo,IAP
female,never married,sagittarius,exclusively male
female,never married,gemini,IAP
male,never married,virgo,IAP
male,never married,cancer,exclusively female
male,divorced,taurus,exclusively female
female,married,libra,exclusively male
female,never married,leo,IAP
male,never married,gemini,IAP
female,never married,capricorn,NA
female,never married,libra,NA
female,never married,capricorn,IAP
male,never married,virgo,IAP
female,never married,pisces,IAP
male,never married,scorpio,IAP
female,never married,cancer,IAP
male,never married,scorpio,IAP
female,married,scorpio,exclusively male
male,never married,virgo,IAP
female,married,aries,exclusively male
male,separated,pisces,IAP
female,divorced,libra,IAP
female,married,taurus,IAP
female,divorced,cancer,exclusively male
female,married,aries,exclusively male
female,divorced,gemini,IAP
female,married,aries,IAP
male,married,aries,both male and female
female,never married,aquarius,IAP
female,separated,gemini,NA
female,never married,virgo,IAP
male,married,libra,IAP
male,married,libra,exclusively female
female,never married,scorpio,IAP
male,married,libra,exclusively female
male,married,aquarius,IAP
male,never married,aquarius,IAP
female,married,capricorn,IAP
female,never married,taurus,exclusively male
female,married,cancer,exclusively male
male,never married,gemini,exclusively female
female,never married,aquarius,IAP
male,never married,pisces,exclusively female
male,married,cancer,IAP
male,married,capricorn,IAP
female,married,cancer,IAP
male,divorced,aquarius,exclusively female
female,married,taurus,IAP
female,married,pisces,IAP
male,divorced,virgo,both male and female
male,married,scorpio,exclusively female
male,married,libra,IAP
female,married,aries,exclusively male
male,married,virgo,exclusively female
female,married,leo,IAP
male,divorced,gemini,IAP
female,separated,gemini,IAP
male,married,sagittarius,exclusively female
female,married,virgo,IAP
female,never married,gemini,IAP
female,married,cancer,exclusively male
female,married,cancer,NA
male,never married,pisces,exclusively female
female,never married,pisces,exclusively female
male,married,leo,IAP
male,married,virgo,IAP
male,married,taurus,exclusively female
female,married,pisces,exclusively male
female,married,capricorn,exclusively male
female,never married,leo,exclusively male
male,married,gemini,IAP
female,never married,pisces,exclusively male
female,never married,capricorn,IAP
female,never married,pisces,IAP
female,never married,cancer,IAP
male,never married,pisces,IAP
male,married,capricorn,exclusively female
female,never married,sagittarius,IAP
female,divorced,aquarius,IAP
female,married,libra,IAP
male,married,gemini,exclusively female
female,married,scorpio,exclusively male
male,never married,aries,exclusively female
male,never married,aries,IAP
male,married,pisces,exclusively female
female,married,taurus,exclusively male
female,married,scorpio,IAP
female,never married,aquarius,exclusively male
female,never married,cancer,exclusively male
female,divorced,taurus,IAP
female,never married,leo,NA
male,never married,aquarius,IAP
female,separated,sagittarius,IAP
female,married,virgo,IAP
male,married,taurus,exclusively female
female,married,aries,IAP
male,separated,scorpio,IAP
male,married,virgo,exclusively female
male,married,libra,exclusively female
female,divorced,scorpio,IAP
male,married,sagittarius,IAP
male,married,capricorn,IAP
female,divorced,aries,exclusively male
male,married,aquarius,exclusively female
male,married,aries,IAP
male,married,taurus,exclusively female
female,married,aquarius,exclusively male
female,married,aries,IAP
female,never married,aries,exclusively female
female,married,virgo,IAP
male,married,leo,IAP
female,never married,libra,exclusively male
male,never married,aries,IAP
female,married,virgo,IAP
male,never married,scorpio,exclusively female
male,married,virgo,IAP
female,married,aries,exclusively male
female,never married,aquarius,exclusively male
female,married,gemini,exclusively male
female,married,pisces,IAP
female,never married,virgo,exclusively female
female,married,capricorn,IAP
female,never married,aquarius,exclusively male
male,never married,aquarius,exclusively female
female,married,aries,exclusively male
female,married,aquarius,IAP
male,never married,pisces,exclusively male
female,never married,leo,IAP
female,never married,cancer,exclusively female
female,never married,aries,exclusively male
female,never married,taurus,IAP
male,married,libra,IAP
male,separated,pisces,IAP
female,married,capricorn,IAP
female,divorced,gemini,IAP
female,married,gemini,IAP
female,never married,pisces,IAP
female,never married,aries,exclusively male
male,married,virgo,exclusively female
male,married,virgo,exclusively female
male,married,scorpio,IAP
male,married,leo,IAP
female,separated,aquarius,exclusively male
female,divorced,libra,IAP
male,married,leo,exclusively male
female,married,virgo,IAP
male,never married,taurus,exclusively female
female,never married,libra,IAP
female,married,pisces,IAP
female,married,gemini,IAP
female,married,pisces,NA
male,married,leo,IAP
male,married,virgo,IAP
female,married,aquarius,NA
male,never married,cancer,NA
female,married,capricorn,exclusively male
female,married,pisces,exclusively male
female,married,gemini,exclusively male
female,divorced,cancer,IAP
male,never married,capricorn,exclusively female
female,married,sagittarius,exclusively male
female,married,gemini,IAP
female,married,aries,IAP
female,married,libra,exclusively male
male,married,capricorn,NA
female,separated,taurus,exclusively male
male,married,pisces,exclusively female
female,married,libra,exclusively male
male,never married,aries,IAP
female,divorced,scorpio,IAP
female,divorced,cancer,IAP
male,married,taurus,IAP
male,married,capricorn,IAP
female,married,capricorn,IAP
male,married,libra,IAP
male,never married,taurus,exclusively female
male,married,pisces,IAP
female,married,pisces,IAP
male,married,cancer,IAP
male,married,virgo,IAP
male,married,gemini,IAP
female,separated,gemini,IAP
female,married,taurus,IAP
male,divorced,capricorn,exclusively female
male,never married,cancer,IAP
female,divorced,cancer,exclusively male
male,married,leo,exclusively female
male,married,cancer,NA
female,married,pisces,exclusively male
male,married,sagittarius,IAP
female,married,sagittarius,IAP
male,married,capricorn,IAP
female,never married,scorpio,IAP
male,never married,virgo,exclusively female
male,never married,cancer,exclusively female
female,married,gemini,IAP
male,married,aquarius,exclusively female
female,married,cancer,IAP
female,divorced,pisces,IAP
male,married,aries,exclusively female
male,divorced,scorpio,exclusively female
male,married,aquarius,exclusively female
female,married,gemini,IAP
female,married,virgo,exclusively male
female,married,cancer,exclusively male
female,divorced,pisces,IAP
female,married,scorpio,exclusively male
male,divorced,aries,IAP
female,never married,taurus,IAP
female,married,libra,exclusively male
male,divorced,libra,exclusively male
male,married,aries,IAP
female,married,capricorn,IAP
male,married,aquarius,exclusively female
male,never married,scorpio,exclusively female
female,married,scorpio,IAP
female,married,libra,exclusively male
female,divorced,capricorn,exclusively male
male,divorced,aquarius,IAP
male,married,pisces,IAP
female,separated,leo,IAP
male,never married,libra,IAP
male,never married,leo,IAP
male,married,scorpio,exclusively female
male,married,leo,IAP
female,separated,aquarius,IAP
male,never married,aquarius,exclusively female
male,married,scorpio,IAP
male,married,scorpio,IAP
male,married,aquarius,IAP
male,married,libra,IAP
male,married,scorpio,IAP
female,never married,taurus,IAP
male,divorced,libra,NA
female,never married,taurus,exclusively male
female,married,libra,IAP
female,married,gemini,exclusively male
female,never married,gemini,IAP
female,married,cancer,exclusively male
female,never married,virgo,exclusively male
female,never married,scorpio,IAP
male,divorced,leo,exclusively female
male,married,cancer,exclusively female
female,married,scorpio,IAP
male,married,virgo,exclusively female
male,never married,leo,IAP
male,never married,pisces,exclusively female
female,married,gemini,exclusively male
male,divorced,aquarius,IAP
female,married,libra,IAP
male,never married,aquarius,both male and female
male,divorced,cancer,IAP
male,divorced,pisces,exclusively female
male,married,libra,IAP
female,married,taurus,NA
male,never married,scorpio,IAP
female,never married,cancer,exclusively female
male,never married,capricorn,exclusively female
female,married,taurus,IAP
female,married,aries,exclusively male
male,divorced,leo,exclusively female
female,married,cancer,IAP
female,married,gemini,IAP
male,married,scorpio,IAP
male,never married,libra,exclusively female
female,married,virgo,IAP
female,married,cancer,exclusively male
male,never married,aquarius,IAP
female,married,aquarius,exclusively male
male,never married,capricorn,IAP
male,never married,sagittarius,exclusively female
female,divorced,sagittarius,IAP
male,married,leo,IAP
male,never married,leo,exclusively female
female,never married,gemini,IAP
male,never married,libra,exclusively female
male,divorced,aries,exclusively female
female,never married,aries,exclusively male
male,never married,cancer,IAP
female,never married,scorpio,exclusively male
female,divorced,libra,IAP
male,never married,scorpio,exclusively female
female,separated,libra,exclusively male
male,divorced,aries,exclusively female
female,never married,aquarius,exclusively male
female,never married,taurus,IAP
female,never married,libra,IAP
female,divorced,cancer,IAP
male,never married,virgo,IAP
male,never married,virgo,exclusively female
female,married,aquarius,IAP
male,never married,virgo,IAP
female,divorced,libra,IAP
male,never married,capricorn,IAP
female,married,virgo,IAP
male,married,capricorn,IAP
female,married,leo,IAP
female,never married,pisces,IAP
female,never married,libra,IAP
male,married,scorpio,IAP
male,never married,taurus,IAP
female,married,cancer,NA
male,married,pisces,IAP
female,married,capricorn,NA
female,divorced,scorpio,IAP
male,never married,sagittarius,exclusively female
female,married,libra,IAP
male,married,taurus,exclusively female
female,married,aries,IAP
male,never married,virgo,IAP
female,never married,taurus,IAP
male,married,cancer,exclusively female
male,married,sagittarius,IAP
female,never married,cancer,NA
female,married,leo,IAP
female,never married,aquarius,IAP
male,married,gemini,IAP
female,married,scorpio,IAP
female,married,pisces,IAP
male,married,cancer,IAP
male,married,virgo,IAP
female,married,aries,IAP
female,divorced,virgo,exclusively male
female,married,gemini,IAP
female,divorced,leo,IAP
female,married,aries,IAP
male,never married,pisces,IAP
male,separated,leo,exclusively female
male,divorced,sagittarius,exclusively female
male,never married,capricorn,IAP
female,married,sagittarius,IAP
male,married,libra,IAP
male,never married,libra,exclusively female
male,never married,aries,IAP
male,never married,taurus,exclusively female
female,never married,scorpio,both male and female
male,separated,virgo,exclusively female
female,never married,pisces,exclusively male
female,divorced,leo,exclusively male
male,married,virgo,IAP
female,married,leo,exclusively male
female,divorced,cancer,exclusively female
female,married,virgo,exclusively male
male,married,taurus,IAP
male,married,libra,exclusively female
female,married,virgo,exclusively male
female,married,scorpio,IAP
male,married,virgo,IAP
female,married,aquarius,IAP
female,married,gemini,IAP
male,married,cancer,IAP
female,married,gemini,exclusively male
female,married,capricorn,IAP
male,married,virgo,exclusively female
female,divorced,capricorn,IAP
female,married,pisces,exclusively male
male,married,capricorn,IAP
female,married,virgo,exclusively male
female,married,taurus,exclusively male
male,never married,gemini,exclusively female
female,divorced,pisces,exclusively male
male,never married,leo,IAP
female,married,capricorn,exclusively male
male,married,gemini,IAP
female,married,scorpio,IAP
female,married,cancer,IAP
female,divorced,taurus,IAP
male,married,pisces,IAP
male,divorced,taurus,IAP
male,married,leo,exclusively female
female,married,pisces,IAP
female,divorced,virgo,NA
female,married,cancer,IAP
female,married,scorpio,IAP
male,married,taurus,IAP
male,never married,pisces,IAP
female,married,cancer,IAP
female,never married,cancer,exclusively male
male,married,scorpio,exclusively female
female,married,taurus,exclusively male
female,never married,aries,exclusively male
female,married,leo,exclusively male
female,married,scorpio,exclusively male
female,divorced,taurus,exclusively male
male,married,taurus,IAP
female,married,gemini,exclusively male
male,never married,aquarius,exclusively female
male,never married,aquarius,IAP
female,never married,aquarius,exclusively male
male,never married,cancer,exclusively female
male,divorced,libra,exclusively female
male,married,virgo,exclusively female
female,never married,scorpio,IAP
female,divorced,aries,IAP
female,married,aries,IAP
female,married,libra,exclusively male
female,married,cancer,IAP
female,never married,capricorn,exclusively male
male,never married,gemini,IAP
female,married,capricorn,exclusively male
male,divorced,sagittarius,IAP
female,married,leo,exclusively male
female,married,sagittarius,IAP
female,never married,taurus,IAP
female,married,aries,exclusively male
male,never married,cancer,exclusively female
female,married,taurus,IAP
male,divorced,aries,exclusively female
female,married,capricorn,exclusively male
female,never married,libra,IAP
female,married,scorpio,IAP
