sex,zodiac,sexfreq,sexsex5
female,NA,not at all,IAP
male,leo,not at all,NA
female,leo,not at all,IAP
female,libra,weekly,exclusively male
male,capricorn,2-3 times a month,exclusively female
female,pisces,weekly,exclusively male
female,NA,not at all,both male and female
female,leo,not at all,IAP
female,sagittarius,2-3 per week,exclusively male
female,gemini,not at all,IAP
female,pisces,not at all,exclusively male
male,virgo,2-3 times a month,IAP
male,cancer,2-3 per week,exclusively female
male,taurus,2-3 times a month,exclusively female
female,libra,not at all,exclusively male
female,leo,not at all,IAP
male,gemini,not at all,IAP
female,capricorn,not at all,NA
female,libra,2-3 per week,NA
female,capricorn,not at all,IAP
female,NA,not at all,NA
male,virgo,not at all,IAP
female,pisces,not at all,IAP
male,scorpio,not at all,IAP
female,cancer,not at all,IAP
male,scorpio,not at all,IAP
female,scorpio,once a month,exclusively male
male,virgo,not at all,IAP
female,aries,2-3 times a month,exclusively male
male,pisces,not at all,IAP
female,libra,2-3 times a month,IAP
female,NA,not at all,IAP
female,taurus,not at all,IAP
female,cancer,2-3 per week,exclusively male
female,aries,not at all,exclusively male
female,gemini,not at all,IAP
female,aries,not at all,IAP
male,aries,not at all,both male and female
female,aquarius,not at all,IAP
female,gemini,not at all,NA
female,virgo,not at all,IAP
male,libra,not at all,IAP
male,libra,2-3 per week,exclusively female
male,gemini,not at all,IAP
female,scorpio,not at all,IAP
female,NA,not at all,IAP
male,libra,not at all,exclusively female
male,aquarius,not at all,IAP
male,aquarius,not at all,IAP
female,NA,not at all,IAP
female,NA,not at all,IAP
female,NA,not at all,IAP
female,capricorn,not at all,IAP
female,taurus,weekly,exclusively male
female,NA,2-3 per week,exclusively male
female,NA,not at all,IAP
male,NA,not at all,IAP
female,cancer,once or twice,exclusively male
male,gemini,weekly,exclusively female
female,aquarius,not at all,IAP
male,pisces,not at all,exclusively female
male,NA,not at all,IAP
male,cancer,not at all,IAP
male,capricorn,not at all,IAP
female,NA,once a month,exclusively male
female,cancer,not at all,IAP
male,aquarius,2-3 times a month,exclusively female
female,taurus,not at all,IAP
female,pisces,not at all,IAP
male,virgo,2-3 times a month,both male and female
male,scorpio,not at all,exclusively female
female,aquarius,not at all,IAP
male,NA,not at all,IAP
male,NA,not at all,IAP
male,libra,not at all,IAP
female,aries,not at all,exclusively male
male,virgo,weekly,exclusively female
female,leo,not at all,IAP
male,gemini,not at all,IAP
female,gemini,not at all,IAP
male,sagittarius,2-3 times a month,exclusively female
female,virgo,not at all,IAP
female,gemini,not at all,IAP
female,cancer,2-3 times a month,exclusively male
male,sagittarius,not at all,IAP
female,cancer,not at all,NA
female,leo,not at all,IAP
female,NA,not at all,IAP
male,pisces,once or twice,exclusively female
female,pisces,not at all,exclusively female
female,leo,not at all,IAP
male,leo,not at all,IAP
male,virgo,not at all,IAP
male,taurus,once or twice,exclusively female
female,pisces,2-3 times a month,exclusively male
female,capricorn,2-3 times a month,exclusively male
male,NA,2-3 per week,exclusively female
female,leo,once or twice,exclusively male
male,NA,not at all,IAP
male,gemini,not at all,IAP
female,pisces,2-3 per week,exclusively male
female,capricorn,not at all,IAP
female,pisces,not at all,IAP
female,cancer,not at all,IAP
male,pisces,not at all,IAP
male,capricorn,weekly,exclusively female
female,sagittarius,not at all,IAP
female,aquarius,not at all,IAP
female,libra,not at all,IAP
male,gemini,once a month,exclusively female
female,scorpio,2-3 per week,exclusively male
male,aries,2-3 per week,exclusively female
male,aries,not at all,IAP
male,pisces,weekly,exclusively female
female,taurus,once a month,exclusively male
female,scorpio,not at all,IAP
