sex,degree,zodiac,sexfreq,sexorient,sociability,acqmark
male,high school,leo,not at all,both male and female,neither agree nor disagree,1
female,lt high school,leo,not at all,exclusively male,neither agree nor disagree,2-5
female,high school,libra,weekly,exclusively male,neither agree nor disagree,2-5
male,high school,capricorn,2-3 times a month,exclusively female,neither agree nor disagree,2-5
female,bachelor,pisces,weekly,exclusively male,neither agree nor disagree,2-5
female,junior college,leo,not at all,exclusively male,agree,2-5
female,bachelor,sagittarius,2-3 per week,exclusively male,neither agree nor disagree,2-5
female,graduate,gemini,not at all,exclusively male,neither agree nor disagree,0
female,lt high school,pisces,not at all,exclusively male,neither agree nor disagree,2-5
male,high school,virgo,2-3 times a month,both male and female,neither agree nor disagree,2-5
male,bachelor,cancer,2-3 per week,exclusively female,neither agree nor disagree,2-5
male,bachelor,taurus,2-3 times a month,exclusively female,neither agree nor disagree,2-5
female,high school,libra,not at all,exclusively male,neither agree nor disagree,2-5
female,graduate,leo,not at all,exclusively male,strongly agree,2-5
male,lt high school,gemini,not at all,both male and female,neither agree nor disagree,2-5
female,lt high school,capricorn,not at all,exclusively male,neither agree nor disagree,2-5
female,high school,libra,2-3 per week,exclusively male,neither agree nor disagree,2-5
female,high school,capricorn,not at all,exclusively male,agree,2-5
male,high school,virgo,not at all,both male and female,neither agree nor disagree,2-5
female,lt high school,pisces,not at all,exclusively male,agree,2-5
male,high school,scorpio,not at all,both male and female,neither agree nor disagree,2-5
female,high school,cancer,not at all,exclusively male,agree,2-5
male,graduate,scorpio,not at all,both male and female,strongly agree,2-5
female,lt high school,scorpio,once a month,exclusively male,neither agree nor disagree,2-5
male,junior college,virgo,not at all,both male and female,agree,2-5
female,lt high school,aries,2-3 times a month,exclusively male,neither agree nor disagree,0
male,high school,pisces,not at all,both male and female,strongly agree,2-5
female,high school,libra,2-3 times a month,exclusively male,neither agree nor disagree,0
female,high school,taurus,not at all,exclusively male,agree,2-5
female,bachelor,cancer,2-3 per week,exclusively male,neither agree nor disagree,2-5
female,high school,aries,not at all,exclusively male,neither agree nor disagree,2-5
female,high school,gemini,not at all,exclusively male,neither agree nor disagree,2-5
female,high school,aries,not at all,exclusively male,strongly agree,2-5
male,high school,aries,not at all,both male and female,neither agree nor disagree,2-5
female,graduate,aquarius,not at all,exclusively male,agree,2-5
female,junior college,gemini,not at all,exclusively male,neither agree nor disagree,2-5
female,junior college,virgo,not at all,exclusively male,neither agree nor disagree,1
male,lt high school,libra,not at all,both male and female,strongly agree,2-5
male,bachelor,libra,2-3 per week,exclusively female,neither agree nor disagree,1
male,lt high school,gemini,not at all,both male and female,neither agree nor disagree,0
female,bachelor,scorpio,not at all,exclusively male,strongly agree,2-5
male,junior college,libra,not at all,exclusively female,neither agree nor disagree,2-5
male,high school,aquarius,not at all,both male and female,strongly agree,2-5
male,lt high school,aquarius,not at all,both male and female,agree,2-5
female,high school,capricorn,not at all,exclusively male,neither agree nor disagree,2-5
female,graduate,taurus,weekly,exclusively male,neither agree nor disagree,2-5
female,graduate,cancer,once or twice,exclusively male,neither agree nor disagree,2-5
male,junior college,gemini,weekly,exclusively female,neither agree nor disagree,2-5
female,junior college,aquarius,not at all,exclusively male,strongly agree,2-5
male,high school,pisces,not at all,exclusively female,neither agree nor disagree,2-5
male,lt high school,cancer,not at all,both male and female,strongly agree,2-5
male,lt high school,capricorn,not at all,both male and female,neither agree nor disagree,2-5
female,bachelor,cancer,not at all,exclusively male,neither agree nor disagree,2-5
male,high school,aquarius,2-3 times a month,exclusively female,neither agree nor disagree,2-5
female,lt high school,taurus,not at all,exclusively male,neither agree nor disagree,2-5
female,high school,pisces,not at all,exclusively male,neither agree nor disagree,0
male,high school,virgo,2-3 times a month,both male and female,neither agree nor disagree,2-5
male,bachelor,scorpio,not at all,exclusively female,neither agree nor disagree,2-5
female,high school,aquarius,not at all,exclusively male,neither agree nor disagree,2-5
male,bachelor,libra,not at all,both male and female,agree,2-5
female,graduate,aries,not at all,exclusively male,neither agree nor disagree,2-5
male,bachelor,virgo,weekly,exclusively female,neither agree nor disagree,2-5
female,high school,leo,not at all,exclusively male,agree,2-5
male,bachelor,gemini,not at all,both male and female,strongly agree,2-5
female,bachelor,gemini,not at all,exclusively male,neither agree nor disagree,1
male,bachelor,sagittarius,2-3 times a month,exclusively female,neither agree nor disagree,1
female,high school,virgo,not at all,exclusively male,strongly agree,2-5
female,lt high school,gemini,not at all,exclusively male,neither agree nor disagree,2-5
female,bachelor,cancer,2-3 times a month,exclusively male,neither agree nor disagree,2-5
male,high school,sagittarius,not at all,both male and female,neither agree nor disagree,2-5
female,graduate,cancer,not at all,exclusively male,neither agree nor disagree,2-5
female,bachelor,leo,not at all,exclusively male,neither agree nor disagree,2-5
